"Gene","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANKDD1A","ANKDD1A|Q495B1",0.0952432465099378,16.7125350986298,0.647969918134021,0.517570819110058,0.772454941083855,-6.13430014095356
"ANKRD61","ANKRD61|A6NGH8",0.180748357328088,19.3604608381494,1.15722597061498,0.247970400775644,0.545534881706417,-5.79102682355458
"APBA1","APBA1|Q02410",-0.0958191145222074,24.0938825117497,-2.66246498881512,0.007897759785297,0.0404419768316071,-3.40808259819326
"APBB1IP","APBB1IP|Q7Z5R6",0.133405889712215,20.3250787527222,2.83459755586183,0.00469275602905025,0.0253408825568714,-2.94309110192076
"ARAP3","ARAP3|Q8WWN8",-0.076094447592812,16.486813929972,-0.385309213658207,0.70032401406797,0.920337310522951,-6.22121728443484
"ARHGEF10L","ARHGEF10L|Q9HCE6",0.151035622356403,20.8665238940416,2.12504029307017,0.0338596186574989,0.134084089883696,-4.67498584202597
"ARHGEF11","ARHGEF11|O15085",-0.101278989606914,24.0500224277289,-3.73899571054281,0.000196625920110843,0.0018838031700942,-0.0328677745415868
"ARHGEF7","ARHGEF7|Q14155",-0.0856896198446009,25.8804802410956,-3.98157367458268,7.40739229912716e-05,0.000879998205136307,0.879888178353771
"ARID4B","ARID4B|Q4LE39",-0.0688209123898957,17.8430250302557,-0.642985332347329,0.520432670147772,0.772842515169441,-6.59095239409635
"ARMC1","ARMC1|Q9NVT9",-0.127719945302005,24.088447281639,-4.443186680378,9.98626496797173e-06,0.00015610108923619,2.76913582534188
"ARMCX2","ARMCX2|Q7L311",-0.073607864969194,21.2585603891601,-1.4928716070162,0.135827006719039,0.391656514519947,-5.80427422690546
"ASAP1","ASAP1|Q9ULH1",-0.197059698273414,24.7502806164124,-7.22431765899172,1.08607459383652e-12,6.45128308738893e-11,18.2202940230872
"ATG9A","ATG9A|Q7Z3C6",0.12917603320696,23.1268421613316,3.3492496654535,0.00084452736182251,0.0059720149157449,-1.38277887795292
"ATP11A","ATP11A|P98196",0.0531128199243298,21.363134828746,1.05328853956209,0.292496100912832,0.576619272676817,-6.3579832004211
"BEX2","BEX2|Q9BXY8",0.146576486487572,17.3132278047302,1.26534950253272,0.218164783914519,0.510196384430017,-4.62967614510611
"BLZF1","BLZF1|Q9H2G9",0.433576471516119,17.1308161132483,0.911489985078445,0.368555789666399,0.648110051408006,-4.98623190483945
"BMPER","BMPER|Q8N8U9",0.0244374586476184,17.8119956129265,0.238947452908477,0.81121485184972,0.96667428143473,-6.78259041552913
"BOLA3","BOLA3|Q53S33",-0.218673149898933,21.5165605939565,-3.57152367425384,0.000374034929033243,0.00317395354065352,-0.630590093716236
"C12orf66","C12orf66|Q96MD2",0.0638646553558502,17.5340364083082,0.544328419301081,0.586417561560774,0.829361979921666,-6.56164759637048
"C16orf54","C16orf54|Q6UWD8",0.0962841619891073,14.9660868246608,0.401507891969962,0.693913464795057,0.915965773529476,-4.89369686579282
